experiment_id,timestamp,scheduler,node_type,workload_type,carbon_efficiency,energy_consumption,performance_score,cpu_utilization,memory_utilization,gpu_utilization,response_time,throughput,queue_time,completion_rate,resource_utilization
exp_0001,2024-01-15T09:00:00,carbon-aware,cpu-optimized,batch,0.85,45.2,0.78,65.3,72.1,0.0,85.4,750.2,8.5,0.92,68.7
exp_0002,2024-01-15T09:05:00,default,general-purpose,web-service,0.62,68.7,0.71,58.9,65.4,0.0,95.2,680.5,12.3,0.88,62.15
exp_0003,2024-01-15T09:10:00,energy-efficient,memory-optimized,ml-training,0.78,52.1,0.74,72.8,85.6,0.0,78.9,720.8,9.7,0.91,79.2
exp_0004,2024-01-15T09:15:00,performance-first,gpu-enabled,ml-training,0.55,95.4,0.89,68.2,78.9,85.3,62.1,920.4,6.2,0.95,73.55
exp_0005,2024-01-15T09:20:00,carbon-aware,cpu-optimized,interactive,0.82,48.6,0.76,61.7,69.3,0.0,88.7,710.6,10.1,0.89,65.5
exp_0006,2024-01-15T09:25:00,default,general-purpose,batch,0.58,72.3,0.68,75.4,71.2,0.0,102.8,645.3,15.6,0.85,73.3
exp_0007,2024-01-15T09:30:00,energy-efficient,cpu-optimized,web-service,0.75,55.8,0.72,59.6,63.8,0.0,82.4,695.7,11.2,0.87,61.7
exp_0008,2024-01-15T09:35:00,performance-first,memory-optimized,interactive,0.51,88.9,0.86,82.1,89.4,0.0,58.3,865.2,5.8,0.94,85.75
exp_0009,2024-01-15T09:40:00,carbon-aware,gpu-enabled,ml-training,0.79,78.5,0.81,71.3,82.7,78.9,72.6,825.4,7.9,0.93,77.0
exp_0010,2024-01-15T09:45:00,default,cpu-optimized,batch,0.61,65.2,0.69,68.9,74.6,0.0,98.5,665.8,13.7,0.86,71.75
exp_0011,2024-01-15T09:50:00,energy-efficient,general-purpose,web-service,0.73,58.4,0.73,63.2,67.9,0.0,85.1,705.3,10.8,0.88,65.55
exp_0012,2024-01-15T09:55:00,performance-first,gpu-enabled,interactive,0.48,102.7,0.91,75.8,85.2,92.1,55.7,945.6,4.9,0.96,80.5
exp_0013,2024-01-15T10:00:00,carbon-aware,memory-optimized,ml-training,0.81,51.3,0.77,69.4,88.1,0.0,79.8,735.9,9.3,0.90,78.75
exp_0014,2024-01-15T10:05:00,default,general-purpose,batch,0.59,70.8,0.67,72.6,69.8,0.0,105.2,638.7,16.2,0.84,71.2
exp_0015,2024-01-15T10:10:00,energy-efficient,cpu-optimized,interactive,0.76,54.7,0.75,58.3,65.7,0.0,81.6,715.2,10.5,0.89,62.0
exp_0016,2024-01-15T10:15:00,performance-first,memory-optimized,web-service,0.53,91.2,0.88,79.5,87.3,0.0,60.4,885.1,5.5,0.95,83.4
exp_0017,2024-01-15T10:20:00,carbon-aware,gpu-enabled,batch,0.77,82.1,0.79,73.8,81.4,82.6,75.3,795.8,8.7,0.92,77.6
exp_0018,2024-01-15T10:25:00,default,cpu-optimized,ml-training,0.60,67.9,0.70,70.2,76.8,0.0,96.7,672.4,14.1,0.87,73.5
exp_0019,2024-01-15T10:30:00,energy-efficient,general-purpose,interactive,0.74,57.6,0.74,61.8,66.2,0.0,83.9,698.6,11.0,0.88,64.0
exp_0020,2024-01-15T10:35:00,performance-first,gpu-enabled,ml-training,0.49,98.3,0.90,77.1,84.6,89.7,57.2,925.3,5.1,0.95,80.85
