experiment_id,timestamp,scheduler,node_type,workload_type,carbon_efficiency,energy_consumption,performance_score,cpu_utilization,memory_utilization,gpu_utilization,response_time,throughput,queue_time,completion_rate,resource_utilization
exp_0000,2025-10-26 01:56:33.253630,default,memory-optimized,ml-training,0.6140586247309361,78.64916926599616,0.625087725054473,32.04338870367147,34.883604294980344,0.0,88.71946058971454,719.0867780194679,8.208846684010068,0.9596888339289817,33.463496499325906
exp_0001,2025-10-29 20:56:33.253651,energy-efficient,general-purpose,interactive,0.7195971827089581,59.609140293556685,0.6862061072472094,33.80302291750407,11.059576575763307,0.0,77.81562554553672,803.0190054673404,6.125541279595417,0.9549918240140414,22.43129974663369
exp_0002,2025-10-26 12:56:33.253669,performance-first,memory-optimized,batch,0.5017056117287891,108.25972874279354,0.6661382232876916,30.502926624370396,34.01415029826933,0.0,74.26120461384983,842.1366623677482,28.594945101862834,0.9673536431132119,32.25853846131986
exp_0003,2025-10-25 08:56:33.253687,energy-efficient,general-purpose,batch,0.8206773569946411,59.0494620183523,0.6224495436038503,30.161299825453163,34.728506052907996,0.0,76.57939687455709,707.2731416160685,25.024005417730564,0.9502690128908104,32.44490293918058
exp_0004,2025-10-27 03:56:33.253705,default,memory-optimized,ml-training,0.5722921583454261,85.29099725011184,0.5709487170202009,24.40398336725235,48.26515370834671,0.0,101.87896415413584,721.4147304490377,10.195834353704749,0.9027642952765329,36.33456853779953
exp_0005,2025-10-26 19:56:33.253722,carbon-aware,general-purpose,batch,0.858675052960942,55.009544024098396,0.6109488670681419,50.2906839315521,14.759537299602837,0.0,82.59305415308677,748.8729399046643,26.271106474841638,0.9330418025284306,32.52511061557747
exp_0006,2025-10-26 09:56:33.253739,carbon-aware,general-purpose,batch,0.8007820111184005,61.72859012164957,0.5775061282008869,13.614664202085672,24.266647308585497,0.0,102.68961369972853,715.2549018740347,2.913164805388769,0.8841241417431974,18.940655755335584
exp_0007,2025-10-29 07:56:33.253757,energy-efficient,gpu-enabled,interactive,0.8433117232380914,98.15027957037343,0.5970334664890464,27.946094624125305,61.164026002286164,89.29830722594711,96.44115292559165,803.9306915090369,25.798580448702054,0.9838743935525723,44.555060313205736
exp_0008,2025-10-25 04:56:33.253774,default,general-purpose,interactive,0.5278431330934646,82.81642219158816,0.6068430238503104,21.448130549744775,84.84243416211955,0.0,97.2776963643866,797.4018921033281,11.642200681395774,0.9136997333763166,53.14528235593216
exp_0009,2025-10-24 12:56:33.253792,energy-efficient,general-purpose,interactive,0.8533289749140412,57.40969441042561,0.6052696158154943,50.04113124117819,35.97542269024301,0.0,92.69086640960296,705.2823208227887,4.090498671706588,0.8996925807043985,43.0082769657106
