experiment_id,timestamp,scheduler,node_type,workload_type,carbon_efficiency,energy_consumption,performance_score,cpu_utilization,memory_utilization,gpu_utilization,response_time,throughput,queue_time,completion_rate,resource_utilization
exp_0001,2025-10-28 07:56:33.159324,carbon-aware,general-purpose,batch,0.8154846223419827,63.91175152938219,0.48716713682058577,10.927797664178081,36.47752450927783,0.0,120.91591101987419,622.7053487788643,12.226025205664762,0.937776578289393,23.702661086727954
exp_0002,2025-10-26 02:56:33.159343,carbon-aware,memory-optimized,batch,0.9379236168714601,57.455411776350104,0.4819935948332405,24.24665712437601,60.56906462030535,0.0,128.3092018608564,658.5570454387804,2.8051111934696964,0.8748215458555748,42.40786087234068
exp_0004,2025-10-24 12:56:33.159378,carbon-aware,general-purpose,web-service,0.8976722851573161,57.39467090700755,0.49640627714825514,17.413926396696016,19.13044761337776,0.0,124.25556658131525,715.732707259211,7.809296639826587,0.850358789970454,18.27218700503689
exp_0009,2025-10-25 11:56:33.159465,carbon-aware,cpu-optimized,interactive,0.8664593497180437,58.04714627416316,0.5489106135932662,25.125179752277756,63.91526744704795,0.0,102.1593770446953,662.1624829745231,11.256392842519265,0.8962639276001685,44.520223599662856
exp_0012,2025-10-30 20:56:33.159515,carbon-aware,memory-optimized,ml-training,0.9393849493340287,59.43084983735621,0.631683870154791,71.56616314981255,35.12739232752884,0.0,83.71512169024098,686.7445288133056,3.7158972070089726,0.9211883549777008,53.346777738670696
exp_0013,2025-10-26 01:56:33.159532,carbon-aware,memory-optimized,interactive,0.9398326345941563,58.308017689686736,0.5671002876615214,40.905998707208475,37.59606426117745,0.0,95.84838925624538,744.8909542696563,21.41977666681397,0.870088612414943,39.251031484192964
exp_0018,2025-10-29 16:56:33.159616,carbon-aware,general-purpose,web-service,0.9292927819781527,55.839072559296255,0.4818359919188643,15.814571482591457,56.06504047760781,0.0,121.52739190079271,610.3965901701287,6.674101859894968,0.8832369714499684,35.939805980099635
exp_0025,2025-10-29 09:56:33.159735,carbon-aware,cpu-optimized,web-service,0.8594325702080223,62.263437268442615,0.45413497719784635,33.69524510749683,80.77272361417982,0.0,127.19799809422743,641.2636194039419,25.465136918832172,0.971400797485052,57.23398436083833
exp_0030,2025-10-31 09:56:33.159820,carbon-aware,memory-optimized,interactive,0.8737590445406571,60.96784995706989,0.6393257622925689,18.360420488130337,44.415585646244296,0.0,81.30150141015399,662.0173071543643,1.6908183059382333,0.9400335549429901,31.388003067187316
exp_0033,2025-10-25 03:56:33.159870,carbon-aware,memory-optimized,ml-training,0.8337330514519333,64.6174403694688,0.568995221022432,26.0345579250866,64.5040110995362,0.0,96.75711327302895,640.2711316212304,5.480279828490796,0.8907289050606567,45.2692845123114
