timestamp,zone,carbon_intensity_g_per_kwh,migrations,co2_saved_kg_cumulative
2025-12-03T00:00:00Z,US-WECC,72,0,0.00
2025-12-03T00:15:00Z,US-WECC,69,0,0.05
2025-12-03T00:30:00Z,US-WECC,65,1,0.11
2025-12-03T00:45:00Z,US-WECC,63,0,0.16
2025-12-03T01:00:00Z,US-WECC,60,1,0.22
2025-12-03T01:15:00Z,US-WECC,62,0,0.27
2025-12-03T01:30:00Z,US-WECC,64,0,0.31
2025-12-03T01:45:00Z,US-WECC,68,1,0.37
2025-12-03T02:00:00Z,US-CAL-CISO,110,0,0.37
2025-12-03T02:15:00Z,US-CAL-CISO,115,1,0.38
2025-12-03T02:30:00Z,US-CAL-CISO,118,0,0.39
2025-12-03T02:45:00Z,US-CAL-CISO,112,2,0.41
2025-12-03T03:00:00Z,US-WECC,70,0,0.46
2025-12-03T03:15:00Z,US-WECC,68,1,0.52
2025-12-03T03:30:00Z,US-WECC,66,0,0.57
2025-12-03T03:45:00Z,US-WECC,64,0,0.62
2025-12-03T04:00:00Z,US-WECC,61,1,0.69
